2021-01-07 21:12:06.883 [main] INFO  com.yzz.service_edu.edu.ServiceEduApplication - Starting ServiceEduApplication using Java 1.8.0_251 on DESKTOP-VD7PFJ0 with PID 10804 (E:\Dev\project\OnlineEducation\service\service_edu\target\classes started by yky in E:\Dev\project\OnlineEducation)
2021-01-07 21:20:13.707 [http-nio-8001-exec-3] INFO  com.yzz.service_edu.edu.controller.SubjectController - 访问接口：获取课程分类列表服务，结束
2021-01-07 21:20:30.600 [http-nio-8001-exec-6] INFO  com.yzz.service_edu.edu.controller.CourseController - 访问接口：添加课程信息
2021-01-07 21:20:30.601 [http-nio-8001-exec-6] INFO  com.yzz.servicebase.handler.MyMetaObjectHandler - start autofill gmtCreate...
2021-01-07 21:20:30.601 [http-nio-8001-exec-6] INFO  com.yzz.servicebase.handler.MyMetaObjectHandler - end autofill gmtCreate...
2021-01-07 21:20:30.605 [http-nio-8001-exec-6] INFO  com.yzz.servicebase.handler.MyMetaObjectHandler - start autofill gmtCreate...
2021-01-07 21:20:30.605 [http-nio-8001-exec-6] INFO  com.yzz.servicebase.handler.MyMetaObjectHandler - end autofill gmtCreate...
2021-01-07 21:20:30.615 [http-nio-8001-exec-6] INFO  com.yzz.service_edu.edu.controller.CourseController - 访问接口：添加课程信息，结束
2021-01-07 21:23:33.406 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2021-01-07 21:23:33.411 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2021-01-07 21:23:37.471 [main] INFO  com.yzz.service_edu.edu.ServiceEduApplication - Starting ServiceEduApplication using Java 1.8.0_251 on DESKTOP-VD7PFJ0 with PID 7544 (E:\Dev\project\OnlineEducation\service\service_edu\target\classes started by yky in E:\Dev\project\OnlineEducation)
2021-01-07 21:23:37.479 [main] INFO  com.yzz.service_edu.edu.ServiceEduApplication - The following profiles are active: homedev
2021-01-07 21:23:38.487 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
2021-01-07 21:23:38.488 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-01-07 21:23:38.488 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41]
2021-01-07 21:23:38.562 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-01-07 21:23:39.721 [main] INFO  springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2021-01-07 21:23:40.135 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8001"]
2021-01-07 21:23:40.148 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2021-01-07 21:23:40.161 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2021-01-07 21:23:40.187 [main] INFO  springfox.documentation.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2021-01-07 21:23:40.326 [main] INFO  com.yzz.service_edu.edu.ServiceEduApplication - Started ServiceEduApplication in 3.322 seconds (JVM running for 4.295)
2021-01-07 21:23:45.022 [http-nio-8001-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-01-07 21:23:45.048 [http-nio-8001-exec-1] INFO  com.yzz.service_edu.edu.controller.LoginController - 获取用户信息ing
2021-01-07 21:23:46.391 [http-nio-8001-exec-3] INFO  com.yzz.service_edu.edu.controller.ChapterController - 访问接口：获取课程大纲列表
2021-01-07 21:23:46.450 [http-nio-8001-exec-3] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-01-07 21:23:46.973 [http-nio-8001-exec-3] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-01-07 21:23:47.025 [http-nio-8001-exec-3] INFO  com.yzz.service_edu.edu.controller.ChapterController - 访问接口：获取课程大纲列表，结束
2021-01-07 21:26:30.042 [http-nio-8001-exec-4] INFO  com.yzz.service_edu.edu.controller.LoginController - 获取用户信息ing
2021-01-07 21:26:31.506 [http-nio-8001-exec-5] INFO  com.yzz.service_edu.edu.controller.ChapterController - 访问接口：获取课程大纲列表
2021-01-07 21:26:31.517 [http-nio-8001-exec-5] INFO  com.yzz.service_edu.edu.controller.ChapterController - 访问接口：获取课程大纲列表，结束
2021-01-07 21:27:15.513 [http-nio-8001-exec-7] INFO  com.yzz.service_edu.edu.controller.ChapterController - 访问接口：新增章节
2021-01-07 21:27:15.516 [http-nio-8001-exec-7] INFO  com.yzz.servicebase.handler.MyMetaObjectHandler - start autofill gmtCreate...
2021-01-07 21:27:15.521 [http-nio-8001-exec-7] INFO  com.yzz.servicebase.handler.MyMetaObjectHandler - end autofill gmtCreate...
2021-01-07 21:27:15.554 [http-nio-8001-exec-7] INFO  com.yzz.service_edu.edu.controller.ChapterController - 访问接口：新增章节，结束
2021-01-07 21:27:16.902 [http-nio-8001-exec-8] INFO  com.yzz.service_edu.edu.controller.ChapterController - 访问接口：获取课程大纲列表
2021-01-07 21:27:16.926 [http-nio-8001-exec-8] INFO  com.yzz.service_edu.edu.controller.ChapterController - 访问接口：获取课程大纲列表，结束
2021-01-07 21:27:23.700 [http-nio-8001-exec-9] INFO  com.yzz.service_edu.edu.controller.ChapterController - 访问接口：获取课程大纲列表
2021-01-07 21:27:23.705 [http-nio-8001-exec-9] INFO  com.yzz.service_edu.edu.controller.ChapterController - 访问接口：获取课程大纲列表，结束
2021-01-07 21:27:38.114 [http-nio-8001-exec-1] INFO  com.yzz.service_edu.edu.controller.TeacherController - 访问接口：所有讲师列表
2021-01-07 21:27:38.119 [http-nio-8001-exec-2] INFO  com.yzz.service_edu.edu.controller.CourseController - 访问接口：根据课程id获取课程信息
2021-01-07 21:27:38.123 [http-nio-8001-exec-1] INFO  com.yzz.service_edu.edu.controller.TeacherController - 访问接口：所有讲师列表，结束
2021-01-07 21:27:38.139 [http-nio-8001-exec-2] INFO  com.yzz.service_edu.edu.controller.CourseController - 访问接口：根据课程id获取课程信息，结束
2021-01-07 21:27:38.161 [http-nio-8001-exec-3] INFO  com.yzz.service_edu.edu.controller.SubjectController - 访问接口：获取课程分类列表服务
2021-01-07 21:27:38.293 [http-nio-8001-exec-3] INFO  com.yzz.service_edu.edu.controller.SubjectController - 访问接口：获取课程分类列表服务，结束
2021-01-07 21:28:08.995 [http-nio-8001-exec-5] INFO  com.yzz.service_edu.edu.controller.TeacherController - 访问接口：所有讲师列表
2021-01-07 21:28:08.995 [http-nio-8001-exec-4] INFO  com.yzz.service_edu.edu.controller.CourseController - 访问接口：根据课程id获取课程信息
2021-01-07 21:28:09.001 [http-nio-8001-exec-5] INFO  com.yzz.service_edu.edu.controller.TeacherController - 访问接口：所有讲师列表，结束
2021-01-07 21:28:09.004 [http-nio-8001-exec-4] INFO  com.yzz.service_edu.edu.controller.CourseController - 访问接口：根据课程id获取课程信息，结束
2021-01-07 21:28:09.027 [http-nio-8001-exec-6] INFO  com.yzz.service_edu.edu.controller.SubjectController - 访问接口：获取课程分类列表服务
